rule,support
[GPON ONU告警]以太网用户口信号丢失告警 [GPON告警]以太网用户端口环回,0.0019305019305019305
[GPON ONU告警]以太网用户口信号丢失告警 [GPON告警]接收光功率高于阈值告警,0.00487987987987988
[GPON告警]ONU信号失效(SF) [GPON告警]信号劣化(SD),0.0017696267696267697
[GPON告警]发送光功率高于阈值告警 [GPON告警]PON信号丢失,0.0010725010725010724
[GPON告警]以太网用户端口环回 [GPON告警]接收光功率低于阈值告警,0.0011261261261261261
[衍生告警]:黔西洪家渡B-5-OIB1D-2至黔西化石B-5-OIB1D-2线路紧急告警[衰耗] 信号劣化(RS-SD),0.0018232518232518232
[衍生告警]:黔西洪家渡B-5-OIB1D-2至黔西化石B-5-OIB1D-2线路紧急告警[衰耗] 定时输入丢失,0.0028957528957528956
[衍生告警]:黔西洪家渡B-5-OIB1D-2至黔西化石B-5-OIB1D-2线路紧急告警[衰耗] 帧丢失(LOF),0.0027885027885027887
[衍生告警]:黔西洪家渡B-5-OIB1D-2至黔西化石B-5-OIB1D-2线路紧急告警[衰耗] 帧失步(OOF),0.0012333762333762333
射频单元维护链路异常告警 [衍生告警]BBU光模块收发异常告警,0.0027885027885027887
[衍生告警]时钟参考源异常告警 时钟参考源异常告警,0.0016087516087516086
[衍生告警]时钟参考源异常告警 星卡锁星不足告警,0.001018876018876019
eNodeB断链告警 eNodeB ID冲突,0.002574002574002574
偶联通路断 eNodeB ID冲突,0.001287001287001287
eNodeB断链告警 偶联通路断,0.0033783783783783786
以太光口接收信号丢失 上行以太端口连线故障或端口状态异常,0.0011261261261261261
告警指示信号(LP-AIS) 不可用秒开始(UAS),0.003271128271128271
增强型远端服务缺陷指示（ERDI-S） 不可用秒开始(UAS),0.006166881166881167
增强型远端连接缺陷指示 不可用秒开始(UAS),0.0012333762333762333
指针丢失(LP-LOP) 不可用秒开始(UAS),0.006166881166881167
误码率越限(LP-EXC) 不可用秒开始(UAS),0.006220506220506221
单板和归属模块之间的控制面通讯异常 主备单板通信链路断,0.0033783783783783786
信号劣化(RS-SD) 定时输入丢失,0.002413127413127413
